rup,obj,P_hist,P_new,P_ccgt,P_ccgt_bioch4,P_won,P_wof,P_pv,P_ror,P_lake,P_cogen,P_charge,P_discharge,E_hist,E_new,E_ccgt,E_ccgt_bioch4,E_won,E_wof,E_pv,E_ror,E_lake,E_cogen,
0.001,7.60e+11,0,44666.85540107773,26604.409333703945,63000.63091921341,153.0,23844.75678624668,30969.608662539915,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,45.331144075557596,0.1964746664821573,30.873313026257815,0.050416184631053004,10.897390810928249,5.63141651178462,3.5771874911053407,2.676508465502312,0.39331498390923064,
0.002,7.55e+11,0,47458.739107956724,26166.966904127723,59320.35913667818,153.0,26242.796860373233,29379.6454479366,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,47.12413654320188,0.2105834430334458,28.264916303024368,0.05041618463105296,11.993329012449234,5.342302587310745,3.577187491105339,2.67650846550231,0.39331498390923036,
0.003,7.51e+11,0,51119.496468666286,25760.350563317665,54933.57462031487,153.0,28470.831604537994,30032.946245922143,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,49.28281134475975,0.2169109764564683,24.989887639271945,0.050416184631052886,13.011572375765637,5.461096755523387,3.577187491105333,2.6765084655023057,0.39331498390922975,
0.004,7.47e+11,0,53540.485782274634,25290.03979687373,52819.733917642894,153.0,30681.20413513888,29968.729119792228,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.764379813098714,0.18834326527637368,22.52644346100081,0.05041618463105281,14.021743857891664,5.449419714706752,3.577187491105328,2.676508465502302,0.39331498390922914,
0.005,7.44e+11,0,54450.0,24963.587394826467,51732.472490367,383.8691426543701,32661.13338507439,31247.1074612829,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,51.10983392937053,0.17511613072361742,20.969730992643978,0.12649161810605744,14.926599504269328,5.681876023051623,3.577187491105349,2.676508465502318,0.39331498390923153,
0.006,7.42e+11,0,54450.0,24586.1408704747,51000.0,1905.6861460531145,33572.33565976036,32113.0794796673,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.884802404141425,0.17430173767287405,20.120693001208558,0.6279570234526389,15.343031820357675,5.83934165899852,3.5771874911053465,2.676508465502316,0.39331498390923114,
0.007,7.39e+11,0,54450.0,24269.405532868648,50353.186278781664,3327.8145940695877,34226.66451150702,33420.92342481851,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.603875813667976,0.1732608922204307,19.40723001516324,1.09657330060474,15.642069352183613,6.077155900302475,3.577187491105348,2.6765084655023172,0.3933149839092314,
0.008,7.37e+11,0,54445.28975448324,24024.94651372375,49830.85503268057,4153.0,34964.60856404851,34826.62752132453,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,50.34779365900637,0.17439473427149446,18.80932452098537,1.3684863710638102,15.979320212371977,6.332764724618093,3.5771874911053367,2.676508465502309,0.39331498390923014,
0.009,7.35e+11,0,54302.52346692145,23921.003123750874,49429.78217327753,5014.049288513246,35661.8090503688,36094.7008911349,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,49.98776350561276,0.1766772423549028,18.353984287488633,1.6522172201234178,16.297950687033897,6.563347209231199,3.5771874911053283,2.6765084655023026,0.39331498390922925,
0.01,7.33e+11,0,54154.23270106828,23855.68179343174,49173.948784545966,6089.899057406103,36133.28321292273,36467.546110994845,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,49.74279379141151,0.17522760219106676,17.98009172042053,2.0067285964879797,16.513421041907442,6.631144214687035,3.5771874911053327,2.6765084655023053,0.3933149839092297,
