rup,obj,P_hist,P_new,P_ccgt,P_ccgt_bioch4,P_won,P_wof,P_pv,P_ror,P_lake,P_cogen,P_charge,P_discharge,E_hist,E_new,E_ccgt,E_ccgt_bioch4,E_won,E_wof,E_pv,E_ror,E_lake,E_cogen,
0.001,7.35e+11,0,59664.048163256426,11981.8461209392,55101.95875979663,153.0,9700.262672397208,29177.598151199287,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,60.53136317267451,0.11144564832439062,22.53197603410208,0.05041618463105295,4.433157119503199,5.305562940536182,3.577187491105337,2.6765084655023093,0.3933149839092302,
0.002,7.28e+11,0,64470.98718140063,11191.462620167029,50591.3661542346,153.0,11984.827242062023,25360.85361578509,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,64.23169273671903,0.08837556168001583,18.5181233131403,0.050416184631053,5.477235411918289,4.6115380843553755,3.5771874911053403,2.676508465502312,0.39331498390923053,
0.003,7.22e+11,0,68787.2777821895,11191.462620167029,45829.47651230525,153.0,14045.40084271171,25234.975137577654,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,67.32070909459576,0.08415545945487987,14.596001829997988,0.05041618463105331,6.418946666189239,4.5886487366603825,3.577187491105363,2.676508465502329,0.3933149839092331,
0.004,7.18e+11,0,68278.90738713412,11175.027448649289,43945.55644815151,2732.715149666441,16250.448001187435,27514.916779437037,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,65.96930207450339,0.10109659494918358,13.670354003190816,0.9004775916971179,7.426684377999143,5.00322617442444,3.577187491105342,2.6765084655023132,0.3933149839092308,
0.005,7.15e+11,0,68658.62266339346,10761.191552270739,41544.91449375265,5849.020715192764,16717.681500075505,27394.500329690953,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,65.82545725042566,0.12279357762126142,12.625968291945883,1.9273549561308014,7.640216689650887,4.981330024854729,3.577187491105345,2.676508465502315,0.3933149839092311,
0.006,7.12e+11,0,67950.05493598507,10860.368904421939,41360.430297041996,6863.540025903808,18602.846909689022,29340.79179303092,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,64.6879299254773,0.12287418891694843,12.23641869831768,2.261656870382949,8.501763921856377,5.335237560556224,3.577187491105369,2.6765084655023332,0.39331498390923375,
0.007,7.11e+11,0,67394.06750701727,11231.204804028981,40943.50573183356,8025.449259127534,19903.830114405504,29685.109061847204,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,63.95187998783343,0.12944339271338617,11.947653219170913,2.64452635029623,9.09633163111587,5.397847132864109,3.5771874911053567,2.676508465502324,0.39331498390923236,
0.008,7.09e+11,0,67217.2603187479,11274.615987881938,40738.59854171172,9864.81193445063,20064.26332454964,29769.893550605917,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,63.66672266085467,0.12333620926921346,11.565222002277277,3.2506286263913475,9.169651875296307,5.413264078397397,3.577187491105327,2.6765084655023017,0.3933149839092291,
0.009,7.08e+11,0,67509.56184391736,11262.867523064175,40259.10710972494,11553.76854906181,19870.26683883891,29696.164087822202,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,63.848383959423394,0.11646990667037423,10.96678388706632,3.807169466365713,9.080992739886106,5.399857344116425,3.577187491105348,2.6765084655023172,0.3933149839092314,
0.01,7.06e+11,0,67419.11161332985,11312.013875601871,40098.46846226931,12722.64644209727,20088.13378594452,29914.792886690164,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,63.72382482869588,0.11264266153356076,10.595484369438521,4.192335241963289,9.180561013476627,5.439612119235209,3.577187491105331,2.6765084655023044,0.39331498390922953,
0.011,7.05e+11,0,67004.39970319379,11312.533426579124,40181.63210061008,14422.913523940808,20609.320981628054,30075.588555555732,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,63.1229186934971,0.10561053785889427,10.386489937015815,4.75260307935107,9.41875092700482,5.46885069937166,3.577187491105355,2.6765084655023226,0.39331498390923214,
0.012,7.04e+11,0,66350.90768623464,11416.782672919053,40334.18975031572,16303.551078411752,21353.138297960784,30567.77084564272,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,62.16413079928995,0.10050476375011384,10.300844869878881,5.372306152359571,9.758685951743237,5.558347583410651,3.5771874911053643,2.6765084655023292,0.39331498390923314,
0.013,7.03e+11,0,65439.16615133388,11632.822774537559,40624.32582222887,18172.86721499375,22154.221845458647,31019.375944117448,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,61.00415684492503,0.09825851693864034,10.390947781608993,5.9882786195211635,10.12479245337563,5.64046603818571,3.577187491105352,2.67650846550232,0.39331498390923175,
0.014,7.03e+11,0,64774.92970737293,11817.80865490362,40697.61033956942,19680.79349397317,23232.256229272112,31745.0686216094,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,59.950701289552256,0.09632664103014162,10.325722790068212,6.4851667874364445,10.617469400905158,5.772423718731141,3.577187491105331,2.6765084655023044,0.39331498390922953,
0.015,7.02e+11,0,64291.21155039767,11955.486208457965,40645.6787157012,21792.16258328074,23807.707002684205,32057.028432123,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,59.072549326070344,0.09309461151668637,10.194013335451055,7.18089994972948,10.880458536275228,5.829149512301332,3.5771874911053576,2.6765084655023244,0.3933149839092325,
0.016,7.01e+11,0,64162.68266873382,12120.81867513272,40318.90044202831,23041.735242624498,24446.591836536518,31946.21365981149,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,58.679249804908636,0.09342606806859503,9.916887307572974,7.592656066745089,11.172437933677935,5.808999301643347,3.577187491105343,2.6765084655023132,0.3933149839092308,
